,Country,Population,Total_Cases,Result
127,Papua New Guinea,8975531,44425,0.4949567886289959
128,Paraguay,7147553,650661,9.103269328677941
129,Peru,33050211,3578364,10.82705341881176
130,Philippines,109830324,3689865,3.3596049484475707
131,Poland,37839255,6006809,15.874543513079209
132,Portugal,10191409,4606051,45.195428816565006
133,Qatar,2889284,367939,12.734608297419015
134,Romania,19214608,2908018,15.134412317961418
135,Russia,145945524,18048085,12.366316215357177
136,Rwanda,13005303,130026,0.9997921617051138
137,Saint Lucia,183774,25538,13.896416250394505
138,Samoa,198643,13145,6.617399052571699
139,San Marino,33944,17083,50.327009191609704
140,Saudi Arabia,34905942,765788,2.193861434823905
141,Senegal,16816539,86101,0.5120019047914675
142,Serbia,8731081,2016576,23.096521496020937
143,Seychelles,98453,43959,44.649731343889975
144,Sierra Leone,8004158,7682,0.09597511693297409
145,Singapore,5858322,1290046,22.020742458335338
146,Slovakia,5460109,2541986,46.55559074003834
147,Slovenia,2078989,1024219,49.265243827648916
148,Solomon Islands,689671,18174,2.6351695228594503
149,Somalia,15965848,26535,0.1661985006997436
150,South Africa,59436725,3948119,6.642558115373955
151,South Sudan,11216250,17590,0.15682603365652512
152,Spain,46757980,12326264,26.361840267693342
153,Sri Lanka,21428970,663804,3.0976943828844785
154,Sudan,44019263,62251,0.14141763345742522
155,Suriname,587541,80416,13.686874618111759
156,Sweden,10110233,2507948,24.806035627467736
157,Switzerland,8665615,3668054,42.32883644149896
158,Syria,17571053,55885,0.3180515134750319
159,Tajikistan,9573310,17786,0.18578736090234205
160,Tanzania,60012400,35354,0.05891115836060548
161,Thailand,69830779,4438999,6.356794329904296
162,Timor-Leste,1322667,22909,1.732030813500299
163,Togo,8310934,37072,0.4460629816095279
164,Tonga,105901,11566,10.921521043238497
165,Trinidad and Tobago,1400283,160493,11.461468860223254
166,Tunisia,11839918,1042362,8.803794080330624
167,Turkey,84495243,15069034,17.834180321843682
168,US,331341050,83969313,25.342260791411146
169,Uganda,45974931,164366,0.3575122276964374
170,Ukraine,43686577,5040518,11.537910145718214
171,United Arab Emirates,9910892,906639,9.147905153239487
172,United Kingdom,67948282,22463243,33.059324443258184
173,Uruguay,3475842,916388,26.36448952512801
174,Uzbekistan,33551824,238983,0.7122802027096947
175,Vanuatu,308337,8905,2.8880737634471374
176,Venezuela,28421581,523540,1.8420509400937268
177,Vietnam,97490013,10715247,10.991122752235144
178,Yemen,29935468,11819,0.039481594207914174
179,Zambia,18468257,321503,1.7408410550058946
180,Zimbabwe,14899771,251959,1.6910259895940682
